Company_Name,Symbol,Price_USD,Change,Change_in_pct,Volume_in_Millions,Avg_Vol_Per_3M,Market_Cap_in_Billions,PE_Ratio
The Coca-Cola Company,KO,70.37,-0.37,-1.58,227.836,278.992,2676.0,37.3
Ford Motor Company,F,9.72,-0.18,-1.82,131.42,98.88,38.652,6.66
"Tesla, Inc.",TSLA,263.55,-9.58,-3.51,122.382,95.897,847.714,129.83
Palantir Technologies Inc.,PLTR,85.85,-4.24,-4.71,90.381,98.076,201.349,451.84
"MARA Holdings, Inc.",MARA,12.47,-1.17,-8.58,34.495,38.55,4.312,7.25
AGNC Investment Corp.,AGNC,9.52,-0.24,-2.46,34.328,21.944,8.715,10.24
Cleveland-Cliffs Inc.,CLF,8.52,-0.81,-8.68,31.099,18.768,4.213,
Alphabet Inc.,GOOG,156.06,-8.02,-4.89,34.787,19.643,1891.0,19.41
Apple Inc.,AAPL,217.9,-5.95,-2.66,39.526,52.533,3273.0,34.59
"Rigetti Computing, Inc.",RGTI,8.15,-0.32,-3.78,27.882,110.977,2.329,
New Gold Inc.,NGD,3.6,-0.02,-0.55,27.112,15.814,2.865,25.71
Bank of America Corporation,BAC,41.25,-1.31,-3.08,26.9,38.431,313.616,12.85
Pfizer Inc.,PFE,25.21,0.2,0.8,27.193,44.877,142.977,17.88
"Advanced Micro Devices, Inc.",AMD,103.22,-3.43,-3.22,30.943,38.304,167.266,103.22
"Rocket Lab USA, Inc.",RKLB,18.62,0.2,1.09,25.408,18.853,8.445,
"CleanSpark, Inc.",CLSK,7.19,-0.65,-8.35,26.027,24.65,2.019,
Nebius Group N.V.,NBIS,22.31,-3.1,-12.2,24.784,13.415,5.26,
Lloyds Banking Group plc,LYG,3.84,-0.04,-1.03,23.646,27.766,57.944,12.0
Barrick Gold Corporation,GOLD,19.14,-0.42,-2.15,23.47,22.838,32.986,15.69
Broadcom Inc.,AVGO,169.12,-2.87,-1.67,29.378,30.466,795.194,78.3
Archer Aviation Inc.,ACHR,7.26,-0.6,-7.63,22.958,30.579,3.938,
Nokia Oyj,NOK,5.21,0.01,0.19,22.351,20.78,28.518,15.79
Amcor plc,AMCR,9.64,-0.07,-0.72,21.95,22.282,13.933,17.53
"Riot Platforms, Inc.",RIOT,7.41,-0.36,-4.63,22.835,29.102,2.595,21.79
Microsoft Corporation,MSFT,378.8,-11.78,-3.02,21.503,22.747,2816.0,30.5
First Majestic Silver Corp.,AG,6.76,-0.21,-3.01,21.095,19.3,3.272,
Telefonaktiebolaget LM Ericsson (publ),ERIC,7.78,-0.08,-1.02,20.977,19.42,26.276,
"Hims & Hers Health, Inc.",HIMS,29.14,-2.78,-8.71,20.8,22.227,6.474,54.98
Vale S.A.,VALE,10.04,-0.13,-1.28,20.395,34.145,43.272,6.97
"CEMEX, S.A.B. de C.V.",CX,5.66,-0.36,-5.98,20.251,10.289,8.779,9.28
Veren Inc.,VRN,6.66,-0.04,-0.6,19.758,20.314,4.075,20.81
Kinross Gold Corporation,KGC,12.49,-0.02,-0.16,19.696,21.537,15.375,16.22
Grab Holdings Limited,GRAB,4.57,-0.23,-4.79,21.416,35.243,18.619,
"Coeur Mining, Inc.",CDE,6.09,-0.25,-3.94,19.56,18.68,3.889,40.6
Hewlett Packard Enterprise Company,HPE,15.79,-0.15,-0.94,19.211,18.139,20.741,7.59
General Motors Company,GM,46.68,-0.52,-1.1,18.805,13.529,46.447,7.33
Strategy Incorporated,MSTR,289.41,-35.18,-10.84,20.959,18.555,75.379,
Hecla Mining Company,HL,5.67,-0.21,-3.57,18.1,19.064,3.582,94.5
CNH Industrial N.V.,CNH,12.19,-0.56,-4.39,17.985,17.86,15.214,12.31
Transocean Ltd.,RIG,3.2,-0.1,-3.03,17.915,31.653,2.812,
Snap Inc.,SNAP,8.89,-0.28,-3.05,17.917,28.78,15.081,
Freeport-McMoRan Inc.,FCX,38.42,-1.56,-3.9,17.765,15.937,55.212,29.55
Keurig Dr Pepper Inc.,KDP,33.74,-0.29,-0.85,17.025,12.32,45.777,32.13
Carnival Corporation & plc,CCL,19.87,-0.91,-4.38,17.067,23.225,26.921,12.82
"NIKE, Inc.",NKE,63.29,-2.51,-3.81,16.99,14.811,93.614,21.03
Verizon Communications Inc.,VZ,44.93,-0.03,-0.07,16.483,24.869,189.142,10.85
"PayPal Holdings, Inc.",PYPL,65.15,-3.71,-5.39,16.49,11.639,64.449,16.33
"Marvell Technology, Inc.",MRVL,62.04,-2.82,-4.35,18.664,15.997,53.731,
"Cisco Systems, Inc.",CSCO,60.86,-0.54,-0.88,22.353,21.022,242.119,26.69
ADT Inc.,ADT,8.1,-0.13,-1.58,15.522,12.055,6.938,12.27
"IonQ, Inc.",IONQ,22.85,-0.8,-3.38,15.362,24.949,5.458,
"Meta Platforms, Inc.",META,576.74,-25.84,-4.29,17.231,16.077,1461.0,24.15
PG&E Corporation,PCG,17.0,-0.15,-0.87,15.065,23.598,37.291,14.78
The Coca-Cola Company,KO,70.37,-0.37,-0.52,15.075,17.961,302.842,28.61
AppLovin Corporation,APP,272.38,10.68,4.08,15.39,7.972,92.598,60.26
XP Inc.,XP,14.8,0.13,0.89,14.668,7.636,7.954,10.28
Stellantis N.V.,STLA,11.33,-0.48,-4.06,14.927,14.129,33.761,5.72
Kenvue Inc.,KVUE,23.7,0.2,0.85,14.401,14.808,45.296,43.89
"Recursion Pharmaceuticals, Inc.",RXRX,5.81,-0.16,-2.68,14.881,23.174,2.336,
Barclays PLC,BCS,15.39,-0.49,-3.09,14.271,20.029,55.961,8.6
"Lyft, Inc.",LYFT,11.57,-0.57,-4.7,14.16,19.418,4.836,192.83
"Micron Technology, Inc.",MU,88.44,-2.72,-2.98,17.051,22.787,98.838,21.16
Comcast Corporation,CMCSA,36.62,-0.75,-2.01,23.323,27.254,138.461,8.85
"SoundHound AI, Inc.",SOUN,8.5,-0.38,-4.28,14.869,47.606,3.391,
"Lumen Technologies, Inc.",LUMN,3.94,-0.16,-3.9,13.813,12.798,3.994,
Itaú Unibanco Holding S.A.,ITUB,5.52,-0.08,-1.43,13.792,26.536,56.776,8.36
Wells Fargo & Company,WFC,70.69,-1.59,-2.2,13.525,15.917,230.814,13.16
Petróleo Brasileiro S.A. - Petrobras,PBR,14.38,-0.01,-0.07,13.328,15.743,89.58,12.4
Schlumberger Limited,SLB,41.88,-0.22,-0.52,12.885,15.329,56.951,13.47
"ASE Technology Holding Co., Ltd.",ASX,8.8,-0.48,-5.17,12.884,10.221,19.725,20.47
BlackBerry Limited,BB,3.92,-0.04,-1.01,13.239,24.188,2.328,
Equinox Gold Corp.,EQX,6.87,-0.23,-3.24,12.674,8.534,3.139,9.16
Vodafone Group Public Limited Company,VOD,9.45,0.09,0.96,12.797,10.272,23.601,10.05
Vertiv Holdings Co,VRT,74.25,-2.07,-2.71,13.136,10.525,28.273,58.01
Shopify Inc. Class A Subordinate Voting Shares,SHOP,96.68,-5.84,-5.7,12.574,8.595,125.102,62.37
lululemon athletica inc.,LULU,293.06,-48.47,-14.19,12.894,1.855,35.354,20.0
Taiwan Semiconductor Manufacturing Company Limited,TSM,165.25,-2.99,-1.78,12.579,16.875,857.077,24.23
"Annaly Capital Management, Inc.",NLY,20.66,-0.43,-2.04,12.382,7.711,11.949,12.75
Alibaba Group Holding Limited,BABA,132.43,-3.2,-2.36,12.319,28.385,320.055,19.28
