Company_Name,Symbol,Price,Change,Change_in_pct,Volume,Avg_Vol_Per_3M,Market_Cap,PE_Ratio
The Coca-Cola Company,KO,70.37,-0.37,-1.58%,227.836M,278.992M,2.676T,37.30
Ford Motor Company,F,9.72,-0.18,-1.82%,131.42M,98.88M,38.652B,6.66
"Tesla, Inc.",TSLA,263.55,-9.58,-3.51%,122.382M,95.897M,847.714B,129.83
Palantir Technologies Inc.,PLTR,85.85,-4.24,-4.71%,90.381M,98.076M,201.349B,451.84
"MARA Holdings, Inc.",MARA,12.47,-1.17,-8.58%,34.495M,38.55M,4.312B,7.25
AGNC Investment Corp.,AGNC,9.52,-0.24,-2.46%,34.328M,21.944M,8.715B,10.24
Cleveland-Cliffs Inc.,CLF,8.52,-0.81,-8.68%,31.099M,18.768M,4.213B,-
Alphabet Inc.,GOOG,156.06,-8.02,-4.89%,34.787M,19.643M,1.891T,19.41
Apple Inc.,AAPL,217.90,-5.95,-2.66%,39.526M,52.533M,3.273T,34.59
"Rigetti Computing, Inc.",RGTI,8.15,-0.32,-3.78%,27.882M,110.977M,2.329B,-
New Gold Inc.,NGD,3.6000,-0.0200,-0.55%,27.112M,15.814M,2.865B,25.71
Bank of America Corporation,BAC,41.25,-1.31,-3.08%,26.9M,38.431M,313.616B,12.85
Pfizer Inc.,PFE,25.21,+0.20,+0.80%,27.193M,44.877M,142.977B,17.88
"Advanced Micro Devices, Inc.",AMD,103.22,-3.43,-3.22%,30.943M,38.304M,167.266B,103.22
"Rocket Lab USA, Inc.",RKLB,18.62,+0.20,+1.09%,25.408M,18.853M,8.445B,-
"CleanSpark, Inc.",CLSK,7.19,-0.65,-8.35%,26.027M,24.65M,2.019B,-
Nebius Group N.V.,NBIS,22.31,-3.10,-12.20%,24.784M,13.415M,5.26B,-
Lloyds Banking Group plc,LYG,3.8400,-0.0400,-1.03%,23.646M,27.766M,57.944B,12.00
Barrick Gold Corporation,GOLD,19.14,-0.42,-2.15%,23.47M,22.838M,32.986B,15.69
Broadcom Inc.,AVGO,169.12,-2.87,-1.67%,29.378M,30.466M,795.194B,78.30
Archer Aviation Inc.,ACHR,7.26,-0.60,-7.63%,22.958M,30.579M,3.938B,-
Nokia Oyj,NOK,5.21,+0.01,+0.19%,22.351M,20.78M,28.518B,15.79
Amcor plc,AMCR,9.64,-0.07,-0.72%,21.95M,22.282M,13.933B,17.53
"Riot Platforms, Inc.",RIOT,7.41,-0.36,-4.63%,22.835M,29.102M,2.595B,21.79
Microsoft Corporation,MSFT,378.80,-11.78,-3.02%,21.503M,22.747M,2.816T,30.50
First Majestic Silver Corp.,AG,6.76,-0.21,-3.01%,21.095M,19.3M,3.272B,-
Telefonaktiebolaget LM Ericsson (publ),ERIC,7.78,-0.08,-1.02%,20.977M,19.42M,26.276B,-
"Hims & Hers Health, Inc.",HIMS,29.14,-2.78,-8.71%,20.8M,22.227M,6.474B,54.98
Vale S.A.,VALE,10.04,-0.13,-1.28%,20.395M,34.145M,43.272B,6.97
"CEMEX, S.A.B. de C.V.",CX,5.66,-0.36,-5.98%,20.251M,10.289M,8.779B,9.28
Veren Inc.,VRN,6.66,-0.04,-0.60%,19.758M,20.314M,4.075B,20.81
Kinross Gold Corporation,KGC,12.49,-0.02,-0.16%,19.696M,21.537M,15.375B,16.22
Grab Holdings Limited,GRAB,4.5700,-0.2300,-4.79%,21.416M,35.243M,18.619B,-
"Coeur Mining, Inc.",CDE,6.09,-0.25,-3.94%,19.56M,18.68M,3.889B,40.60
Hewlett Packard Enterprise Company,HPE,15.79,-0.15,-0.94%,19.211M,18.139M,20.741B,7.59
General Motors Company,GM,46.68,-0.52,-1.10%,18.805M,13.529M,46.447B,7.33
Strategy Incorporated,MSTR,289.41,-35.18,-10.84%,20.959M,18.555M,75.379B,-
Hecla Mining Company,HL,5.67,-0.21,-3.57%,18.1M,19.064M,3.582B,94.50
CNH Industrial N.V.,CNH,12.19,-0.56,-4.39%,17.985M,17.86M,15.214B,12.31
Transocean Ltd.,RIG,3.2000,-0.1000,-3.03%,17.915M,31.653M,2.812B,-
Snap Inc.,SNAP,8.89,-0.28,-3.05%,17.917M,28.78M,15.081B,-
Freeport-McMoRan Inc.,FCX,38.42,-1.56,-3.90%,17.765M,15.937M,55.212B,29.55
Keurig Dr Pepper Inc.,KDP,33.74,-0.29,-0.85%,17.025M,12.32M,45.777B,32.13
Carnival Corporation & plc,CCL,19.87,-0.91,-4.38%,17.067M,23.225M,26.921B,12.82
"NIKE, Inc.",NKE,63.29,-2.51,-3.81%,16.99M,14.811M,93.614B,21.03
Verizon Communications Inc.,VZ,44.93,-0.03,-0.07%,16.483M,24.869M,189.142B,10.85
"PayPal Holdings, Inc.",PYPL,65.15,-3.71,-5.39%,16.49M,11.639M,64.449B,16.33
"Marvell Technology, Inc.",MRVL,62.04,-2.82,-4.35%,18.664M,15.997M,53.731B,-
"Cisco Systems, Inc.",CSCO,60.86,-0.54,-0.88%,22.353M,21.022M,242.119B,26.69
ADT Inc.,ADT,8.10,-0.13,-1.58%,15.522M,12.055M,6.938B,12.27
"IonQ, Inc.",IONQ,22.85,-0.80,-3.38%,15.362M,24.949M,5.458B,-
"Meta Platforms, Inc.",META,576.74,-25.84,-4.29%,17.231M,16.077M,1.461T,24.15
PG&E Corporation,PCG,17.00,-0.15,-0.87%,15.065M,23.598M,37.291B,14.78
The Coca-Cola Company,KO,70.37,-0.37,-0.52%,15.075M,17.961M,302.842B,28.61
AppLovin Corporation,APP,272.38,+10.68,+4.08%,15.39M,7.972M,92.598B,60.26
XP Inc.,XP,14.80,+0.13,+0.89%,14.668M,7.636M,7.954B,10.28
Stellantis N.V.,STLA,11.33,-0.48,-4.06%,14.927M,14.129M,33.761B,5.72
Kenvue Inc.,KVUE,23.70,+0.20,+0.85%,14.401M,14.808M,45.296B,43.89
"Recursion Pharmaceuticals, Inc.",RXRX,5.81,-0.16,-2.68%,14.881M,23.174M,2.336B,-
Barclays PLC,BCS,15.39,-0.49,-3.09%,14.271M,20.029M,55.961B,8.60
"Lyft, Inc.",LYFT,11.57,-0.57,-4.70%,14.16M,19.418M,4.836B,192.83
"Micron Technology, Inc.",MU,88.44,-2.72,-2.98%,17.051M,22.787M,98.838B,21.16
Comcast Corporation,CMCSA,36.62,-0.75,-2.01%,23.323M,27.254M,138.461B,8.85
"SoundHound AI, Inc.",SOUN,8.50,-0.38,-4.28%,14.869M,47.606M,3.391B,-
"Lumen Technologies, Inc.",LUMN,3.9400,-0.1600,-3.90%,13.813M,12.798M,3.994B,-
Itaú Unibanco Holding S.A.,ITUB,5.52,-0.08,-1.43%,13.792M,26.536M,56.776B,8.36
Wells Fargo & Company,WFC,70.69,-1.59,-2.20%,13.525M,15.917M,230.814B,13.16
Petróleo Brasileiro S.A. - Petrobras,PBR,14.38,-0.01,-0.07%,13.328M,15.743M,89.58B,12.40
Schlumberger Limited,SLB,41.88,-0.22,-0.52%,12.885M,15.329M,56.951B,13.47
"ASE Technology Holding Co., Ltd.",ASX,8.80,-0.48,-5.17%,12.884M,10.221M,19.725B,20.47
